Campus,Expense,Cost,Status
UC Berkely,Housing,14080,Single Students
UC Davis,Housing,10260,Single Students
UC Irvine,Housing,9920,Single Students
UC Los Angeles,Housing,14410,Single Students
UC Merced,Housing,7600,Single Students
UC Riverside,Housing,8960,Single Students
UC San Diego,Housing,10010,Single Students
UC San Francisco,Housing,15420,Single Students
UC Santa Barbara,Housing,11450,Single Students
UC Santa Cruz,Housing,12690,Single Students
System Average,Housing,11870,Single Students
UC Berkely,Groceries,7760,Single Students
UC Davis,Groceries,7900,Single Students
UC Irvine,Groceries,7500,Single Students
UC Los Angeles,Groceries,8050,Single Students
UC Merced,Groceries,7500,Single Students
UC Riverside,Groceries,6660,Single Students
UC San Diego,Groceries,7650,Single Students
UC San Francisco,Groceries,8180,Single Students
UC Santa Barbara,Groceries,6740,Single Students
UC Santa Cruz,Groceries,7270,Single Students
System Average,Groceries,7580,Single Students
UC Berkely,Utilities***,1510,Single Students
UC Davis,Utilities***,1670,Single Students
UC Irvine,Utilities***,1280,Single Students
UC Los Angeles,Utilities***,1700,Single Students
UC Merced,Utilities***,2100,Single Students
UC Riverside,Utilities***,1830,Single Students
UC San Diego,Utilities***,1440,Single Students
UC San Francisco,Utilities***,1700,Single Students
UC Santa Barbara,Utilities***,1730,Single Students
UC Santa Cruz,Utilities***,1980,Single Students
System Average,Utilities***,1640,Single Students
UC Berkely,Personal*,2450,Single Students
UC Davis,Personal*,2420,Single Students
UC Irvine,Personal*,2510,Single Students
UC Los Angeles,Personal*,2480,Single Students
UC Merced,Personal*,2440,Single Students
UC Riverside,Personal*,2210,Single Students
UC San Diego,Personal*,2270,Single Students
UC San Francisco,Personal*,3030,Single Students
UC Santa Barbara,Personal*,2270,Single Students
UC Santa Cruz,Personal*,2340,Single Students
System Average,Personal*,2410,Single Students
UC Berkely,Transportation**,2480,Single Students
UC Davis,Transportation**,2570,Single Students
UC Irvine,Transportation**,3090,Single Students
UC Los Angeles,Transportation**,3020,Single Students
UC Merced,Transportation**,2590,Single Students
UC Riverside,Transportation**,2900,Single Students
UC San Diego,Transportation**,2860,Single Students
UC San Francisco,Transportation**,3300,Single Students
UC Santa Barbara,Transportation**,2180,Single Students
UC Santa Cruz,Transportation**,2630,Single Students
System Average,Transportation**,2730,Single Students
UC Berkely,Books and Supplies,310,Single Students
UC Davis,Books and Supplies,380,Single Students
UC Irvine,Books and Supplies,370,Single Students
UC Los Angeles,Books and Supplies,370,Single Students
UC Merced,Books and Supplies,400,Single Students
UC Riverside,Books and Supplies,370,Single Students
UC San Diego,Books and Supplies,260,Single Students
UC San Francisco,Books and Supplies,230,Single Students
UC Santa Barbara,Books and Supplies,350,Single Students
UC Santa Cruz,Books and Supplies,390,Single Students
System Average,Books and Supplies,340,Single Students
UC Berkely,Housing,18720,Students with a Partner
UC Davis,Housing,14910,Students with a Partner
UC Irvine,Housing,15580,Students with a Partner
UC Los Angeles,Housing,18760,Students with a Partner
UC Merced,Housing,10980,Students with a Partner
UC Riverside,Housing,13380,Students with a Partner
